"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Dec 14 22:39:00 CST 2020","Mon Dec 14 22:39:00 CST 2020","0","","test_calculator_Sunday","TestCalc","","","测试用例3",""
"failed","Mon Dec 14 22:39:00 CST 2020","Mon Dec 14 22:39:00 CST 2020","0","","test_calculator_Sunday","TestCalc","","","测试用例2",""
"failed","Mon Dec 14 22:39:00 CST 2020","Mon Dec 14 22:39:00 CST 2020","1","","test_calculator_Sunday","TestCalc","","","测试用例3",""
"failed","Mon Dec 14 22:39:00 CST 2020","Mon Dec 14 22:39:00 CST 2020","0","","test_calculator_Sunday","TestCalc","","","测试用例4",""
"failed","Mon Dec 14 22:39:00 CST 2020","Mon Dec 14 22:39:00 CST 2020","0","","test_calculator_Sunday","TestCalc","","","测试用例3",""
"passed","Mon Dec 14 22:39:00 CST 2020","Mon Dec 14 22:39:00 CST 2020","0","","test_calculator_Sunday","TestCalc","","","测试用例2",""
"passed","Mon Dec 14 22:39:00 CST 2020","Mon Dec 14 22:39:00 CST 2020","0","","test_calculator_Sunday","TestCalc","","","测试用例1",""
"failed","Mon Dec 14 22:39:00 CST 2020","Mon Dec 14 22:39:00 CST 2020","0","","test_calculator_Sunday","TestCalc","","","测试用例2",""
"passed","Mon Dec 14 22:39:00 CST 2020","Mon Dec 14 22:39:00 CST 2020","1","","test_calculator_Sunday","TestCalc","","","测试用例1",""
"failed","Mon Dec 14 22:39:00 CST 2020","Mon Dec 14 22:39:00 CST 2020","1","","test_calculator_Sunday","TestCalc","","","测试用例1",""
"failed","Mon Dec 14 22:39:00 CST 2020","Mon Dec 14 22:39:00 CST 2020","0","","test_calculator_Sunday","TestCalc","","","测试用例4",""
"failed","Mon Dec 14 22:39:00 CST 2020","Mon Dec 14 22:39:00 CST 2020","1","","test_calculator_Sunday","TestCalc","","","测试用例4",""
